,screenName,userId,text,location,multi-team
80,TeamMysticAUSTX,7.519757181840384e+17,Ok y'all let's try to make Austin and its surrounding towns blue. #TeamMystic #PokemonGO,"Texas, USA",False
81,ThamanBrayden,3314267637.0,someone come to cadillac jacks and help me take this gym for team mystic plz,"Miamisburg, OH",False
82,pyle_marie,2957940247.0,#pokemongo #mobilegames #TeamValor https://t.co/XPTA0grwPY,"Arkansas, USA",False
83,RRshootin,7.055813880037335e+17,Hey @XavierWoodsPhD whats got u shook more? @dvalorofficial ready to stomp u in Smash Bros or the Wyatt Family at #Battleground? #TeamValor,"Boston, MA",False
84,Really_IC,20298544.0,So this guy appears and I get to throw a pokéball and the game freezes #PokemonGO #TeamValor #guiltypleasure https://t.co/5GB75h80AY,"Queens, NY",False
85,trini87,26296758.0,This is so accurate. #TeamInstinct https://t.co/UAUHc5AxJh,"Schaumburg, IL",False
86,ImGowenDude,46824835.0,Hey who's team mystic and in Huntsville Madison area,"Alabama, USA",False
87,ishmael5,18548490.0,@AllissaByGrace #Mystic the only correct choice.,"Mason, OH",False
88,djc_era,2794166628.0,team instinct is terrible im sorry https://t.co/WYKd5YVFZD,"Dallas, TX",False
89,iMrHeadset,2353180124.0,For #TeamMystic https://t.co/AjpmMF7Br6,"Cary, NC",False
90,MasterMoyer,41500187.0,@AllissaByGrace #TeamValor,"Colorado Springs, CO",False
91,GetUpOnTheMike,626902978.0,there's a very high level team mystic gym at the wilmu admissions center (where i have class) and i am not surprised about this whatsoever,"Delaware, USA",False
92,worshippsalmist,176944853.0,Good morning! #followyourinstincts #tdjakes #instinct https://t.co/qcWqX5tqM7,"Bronx, NY",False
93,Trippy_Vibe,405875311.0,If you team mystic I can't fuck w you #teamsuuwoo,"South Bend, IN",False
94,captaincaitlin5,16674840.0,I love this and I love my team #TeamInstinct https://t.co/DNXd8pI5Aq,"Whitesboro, NY",False
95,iifarmerii,119502973.0,My current status on #PokemonGO Day 5... Almost Level 7 #TeamValor https://t.co/9CIwRcETCg,"Mattoon, IL",False
